x,y
5.22222,0.97598
5.22973,0.97604
5.23724,0.97609
5.24474,0.97615
5.25225,0.9762
5.25976,0.97626
5.26727,0.97632
5.27477,0.97637
5.28228,0.97643
5.28979,0.97648
5.2973,0.97653
5.3048,0.97659
5.31231,0.97664
5.31982,0.9767
5.32733,0.97675
5.33483,0.9768
5.34234,0.97686
5.34985,0.97691
5.35736,0.97696
5.36486,0.97702
5.37237,0.97707
5.37988,0.97712
5.38739,0.97718
5.39489,0.97723
5.4024,0.97728
5.40991,0.97733
5.41742,0.97738
5.42492,0.97743
5.43243,0.97749
5.43994,0.97754
5.44745,0.97759
5.45495,0.97764
5.46246,0.97769
5.46997,0.97774
5.47748,0.97779
5.48498,0.97784
5.49249,0.97789
5.5,0.97794
5.50751,0.97799
5.51502,0.97804
5.52252,0.97809
5.53003,0.97814
5.53754,0.97818
5.54505,0.97823
5.55255,0.97828
5.56006,0.97833
5.56757,0.97838
5.57508,0.97843
5.58258,0.97847
5.59009,0.97852
5.5976,0.97857
5.60511,0.97862
5.61261,0.97866
5.62012,0.97871
5.62763,0.97876
5.63514,0.9788
5.64264,0.97885
5.65015,0.9789
5.65766,0.97894
5.66517,0.97899
5.67267,0.97903
5.68018,0.97908
5.68769,0.97913
5.6952,0.97917
5.7027,0.97922
5.71021,0.97926
5.71772,0.97931
5.72523,0.97935
5.73273,0.9794
5.74024,0.97944
5.74775,0.97948
5.75526,0.97953
5.76276,0.97957
5.77027,0.97962
5.77778,0.97966
5.78529,0.9797
5.79279,0.97975
5.8003,0.97979
5.80781,0.97983
5.81532,0.97988
5.82282,0.97992
5.83033,0.97996
5.83784,0.98001
5.84535,0.98005
5.85285,0.98009
5.86036,0.98013
5.86787,0.98017
5.87538,0.98022
5.88288,0.98026
5.89039,0.9803
5.8979,0.98034
5.90541,0.98038
5.91291,0.98042
5.92042,0.98046
5.92793,0.98051
5.93544,0.98055
5.94294,0.98059
5.95045,0.98063
5.95796,0.98067
5.96547,0.98071
5.97297,0.98075
5.98048,0.98079
5.98799,0.98083
5.9955,0.98087
6.003,0.98091
6.01051,0.98095
6.01802,0.98099
6.02553,0.98103
6.03303,0.98107
6.04054,0.9811
6.04805,0.98114
6.05556,0.98118
6.06306,0.98122
6.07057,0.98126
6.07808,0.9813
6.08559,0.98134
6.09309,0.98137
6.1006,0.98141
6.10811,0.98145
6.11562,0.98149
6.12312,0.98153
6.13063,0.98156
6.13814,0.9816
6.14565,0.98164
6.15315,0.98168
6.16066,0.98171
6.16817,0.98175
6.17568,0.98179
6.18318,0.98182
6.19069,0.98186
6.1982,0.9819
6.20571,0.98193
6.21321,0.98197
6.22072,0.98201
6.22823,0.98204
6.23574,0.98208
6.24324,0.98211
6.25075,0.98215
6.25826,0.98219
6.26577,0.98222
6.27327,0.98226
6.28078,0.98229
6.28829,0.98233
6.2958,0.98236
6.3033,0.9824
6.31081,0.98243
6.31832,0.98247
6.32583,0.9825
6.33333,0.98254
6.34084,0.98257
6.34835,0.9826
6.35586,0.98264
6.36336,0.98267
6.37087,0.98271
6.37838,0.98274
6.38589,0.98278
6.39339,0.98281
6.4009,0.98284
6.40841,0.98288
6.41592,0.98291
6.42342,0.98294
6.43093,0.98298
6.43844,0.98301
6.44595,0.98304
6.45345,0.98308
6.46096,0.98311
6.46847,0.98314
6.47598,0.98317
6.48348,0.98321
6.49099,0.98324
6.4985,0.98327
6.50601,0.9833
6.51351,0.98334
6.52102,0.98337
6.52853,0.9834
6.53604,0.98343
6.54354,0.98346
6.55105,0.98349
6.55856,0.98353
6.56607,0.98356
6.57357,0.98359
6.58108,0.98362
6.58859,0.98365
6.5961,0.98368
6.6036,0.98371
6.61111,0.98375
6.61862,0.98378
6.62613,0.98381
6.63363,0.98384
6.64114,0.98387
6.64865,0.9839
6.65616,0.98393
6.66366,0.98396
6.67117,0.98399
6.67868,0.98402
6.68619,0.98405
6.69369,0.98408
6.7012,0.98411
6.70871,0.98414
6.71622,0.98417
6.72372,0.9842
6.73123,0.98423
6.73874,0.98426
6.74625,0.98429
6.75375,0.98432
6.76126,0.98435
6.76877,0.98438
6.77628,0.9844
6.78378,0.98443
6.79129,0.98446
6.7988,0.98449
6.80631,0.98452
6.81381,0.98455
6.82132,0.98458
6.82883,0.98461
6.83634,0.98463
6.84384,0.98466
6.85135,0.98469
6.85886,0.98472
6.86637,0.98475
6.87387,0.98477
6.88138,0.9848
6.88889,0.98483
6.8964,0.98486
6.9039,0.98489
6.91141,0.98491
6.91892,0.98494
6.92643,0.98497
6.93393,0.985
6.94144,0.98502
6.94895,0.98505
6.95646,0.98508
6.96396,0.9851
6.97147,0.98513
6.97898,0.98516
6.98649,0.98519
6.99399,0.98521
7.0015,0.98524
7.00901,0.98527
7.01652,0.98529
7.02402,0.98532
7.03153,0.98535
7.03904,0.98537
7.04655,0.9854
7.05405,0.98542
7.06156,0.98545
7.06907,0.98548
7.07658,0.9855
7.08408,0.98553
7.09159,0.98555
7.0991,0.98558
7.10661,0.98561
7.11411,0.98563
7.12162,0.98566
7.12913,0.98568
7.13664,0.98571
7.14414,0.98573
7.15165,0.98576
7.15916,0.98578
7.16667,0.98581
7.17417,0.98583
7.18168,0.98586
7.18919,0.98588
7.1967,0.98591
7.2042,0.98593
7.21171,0.98596
7.21922,0.98598
7.22673,0.98601
7.23423,0.98603
7.24174,0.98606
7.24925,0.98608
7.25676,0.98611
7.26426,0.98613
7.27177,0.98615
7.27928,0.98618
7.28679,0.9862
7.29429,0.98623
7.3018,0.98625
7.30931,0.98627
7.31682,0.9863
7.32432,0.98632
7.33183,0.98635
7.33934,0.98637
7.34685,0.98639
7.35435,0.98642
7.36186,0.98644
7.36937,0.98646
7.37688,0.98649
7.38438,0.98651
7.39189,0.98653
7.3994,0.98656
7.40691,0.98658
7.41441,0.9866
7.42192,0.98663
7.42943,0.98665
7.43694,0.98667
7.44444,0.98669
7.45195,0.98672
7.45946,0.98674
7.46697,0.98676
7.47447,0.98678
7.48198,0.98681
7.48949,0.98683
7.497,0.98685
7.5045,0.98687
7.51201,0.9869
7.51952,0.98692
7.52703,0.98694
7.53453,0.98696
7.54204,0.98699
7.54955,0.98701
7.55706,0.98703
7.56456,0.98705
7.57207,0.98707
7.57958,0.98709
7.58709,0.98712
7.59459,0.98714
7.6021,0.98716
7.60961,0.98718
7.61712,0.9872
7.62462,0.98722
7.63213,0.98725
7.63964,0.98727
7.64715,0.98729
7.65465,0.98731
7.66216,0.98733
7.66967,0.98735
7.67718,0.98737
7.68468,0.98739
7.69219,0.98741
7.6997,0.98744
7.70721,0.98746
7.71471,0.98748
7.72222,0.9875
7.72973,0.98752
7.73724,0.98754
7.74474,0.98756
7.75225,0.98758
7.75976,0.9876
7.76727,0.98762
7.77477,0.98764
7.78228,0.98766
7.78979,0.98768
7.7973,0.9877
7.8048,0.98772
7.81231,0.98774
7.81982,0.98776
7.82733,0.98778
7.83483,0.9878
7.84234,0.98782
7.84985,0.98784
7.85736,0.98786
7.86486,0.98788
7.87237,0.9879
7.87988,0.98792
7.88739,0.98794
7.89489,0.98796
7.9024,0.98798
7.90991,0.988
7.91742,0.98802
7.92492,0.98804
7.93243,0.98806
7.93994,0.98808
7.94745,0.9881
7.95495,0.98812
7.96246,0.98814
7.96997,0.98815
8,0.98823
