conc,a1,a2,a3,b1,b2,b3,c1,c2,c3,a.mean,b.mean,c.mean,a.err,b.err,c.err,c.norm,c.norm.err
0.35,0.53,0.53,0.54,0.33,0.33,0.32,0,0,0,0.53,0.33,0,0.01,0.01,0,0,0
0.7,0.67,0.66,0.67,0.13,0.14,0.12,0.06,0.05,0.06,0.67,0.13,0.06,0.01,0.01,0.01,0.326923077,0.035043486
1.4,0.71,0.67,0.71,0.06,0.15,0.05,0.11,0.07,0.14,0.7,0.09,0.11,0.02,0.06,0.04,0.615384615,0.203642945
3,0.7,0.68,0.69,0.04,0.1,0.05,0.16,0.12,0.15,0.69,0.06,0.14,0.01,0.03,0.02,0.826923077,0.123214174
6,0.69,0.69,0.68,0.07,0.06,0.06,0.13,0.15,0.14,0.69,0.06,0.14,0.01,0.01,0.01,0.807692308,0.063656753
12,0.68,0.68,0.68,0.06,0.07,0.06,0.18,0.17,0.17,0.68,0.06,0.17,0,0.01,0.01,1,0.047105572
