"g0","td","chl","sam","time.react"
4.76960081084847,0.00196837332159805,"Ac","1","0us"
4.18196105222333,0.00180268672781583,"Ac","2","0us"
4.62363279835121,0.00195761152666584,"Ac","3","0us"
4.51665846502488,0.00186963064299794,"Ac","4","0us"
3.86046003334172,0.0018231581397096,"Ac","5","0us"
9.6579594367732,0.0019783864401946,"Dr","1","0us"
8.78814507847324,0.00181054657015178,"Dr","2","0us"
9.47779887782032,0.00196539204436079,"Dr","3","0us"
9.37657261932297,0.0018712449754217,"Dr","4","0us"
8.20668883013271,0.00182697794319806,"Dr","5","0us"
7.14364013448408,0.00197501676334421,"Tt","1","0us"
6.39526152575254,0.00180698696684857,"Tt","2","0us"
6.97763931982619,0.00196212266756159,"Tt","3","0us"
6.85827215285475,0.00187130117343859,"Tt","4","0us"
5.94095275787197,0.00182513614970761,"Tt","5","0us"
