"g0","td","chl","sam","time.react"
4.94094903771802,0.00183228215010156,"Ac","1","0us"
4.48263681265092,0.00173284646953737,"Ac","2","0us"
4.53200002736813,0.00170346216409984,"Ac","3","0us"
4.70073524641447,0.00189338567399914,"Ac","4","0us"
4.81151572314022,0.00203332644069732,"Ac","5","0us"
4.57337073897171,0.00194147067961919,"Ac","6","0us"
4.97253009980948,0.00193976932789442,"Ac","7","0us"
4.93950207626085,0.00191341607740428,"Ac","8","0us"
4.71315583253578,0.00172358112284886,"Ac","9","0us"
4.59238646316858,0.00189334340332603,"Ac","10","0us"
4.81111129988262,0.00183130978347864,"Ac","11","0us"
4.9319245039093,0.0019209311236166,"Ac","12","0us"
4.57525482174726,0.00186340052786969,"Ac","13","0us"
5.08625951449047,0.00188964129116746,"Ac","14","0us"
4.3857289182131,0.00193991581967272,"Ac","15","0us"
4.45139452787216,0.00203556776469781,"Ac","16","0us"
4.246699241638,0.0017237303326051,"Ac","17","0us"
4.8507115708995,0.00195981921177884,"Ac","18","0us"
4.57275200407432,0.00193029930211693,"Ac","19","0us"
4.64204369150304,0.00182852295347405,"Ac","20","0us"
4.35373937666705,0.00186828023292893,"Ac","1","100us"
4.05836403438385,0.00177697215025906,"Ac","2","100us"
4.57504939197032,0.00199955299272276,"Ac","3","100us"
3.97514042574899,0.00183594781661911,"Ac","4","100us"
3.79541140314585,0.00183020120569515,"Ac","5","100us"
4.43003173423217,0.00173772037656516,"Ac","6","100us"
4.22313820814185,0.00176107695943103,"Ac","7","100us"
4.47408385579731,0.00193615459612593,"Ac","8","100us"
4.02138668117191,0.00185028866704385,"Ac","9","100us"
4.29867285614977,0.00181119404451289,"Ac","10","100us"
4.47563312692117,0.00173010106957154,"Ac","11","100us"
4.40495166727278,0.00184565677548069,"Ac","12","100us"
4.13671602311861,0.00192374109395557,"Ac","13","100us"
4.63072106148804,0.0017362188826648,"Ac","14","100us"
4.52555603688707,0.00177343464709123,"Ac","15","100us"
4.77904336915812,0.0017208860550813,"Ac","16","100us"
4.70825293864793,0.00187040803463415,"Ac","17","100us"
4.46033010946553,0.00175146541326411,"Ac","18","100us"
4.46286533126311,0.00188314203323202,"Ac","19","100us"
4.60554757949923,0.00180362842123245,"Ac","20","100us"
4.19990378505435,0.001816768423915,"Ac","1","200us"
4.43608400331142,0.00193076219008812,"Ac","2","200us"
4.08681993803831,0.00171860136520441,"Ac","3","200us"
4.21436508690943,0.00188629486544215,"Ac","4","200us"
4.09925909584453,0.00162132111036872,"Ac","5","200us"
4.78488575380417,0.00178412588331652,"Ac","6","200us"
4.48620216107575,0.00175663192444589,"Ac","7","200us"
4.85820814704979,0.00174889946527948,"Ac","8","200us"
4.33286437954352,0.00168384197924751,"Ac","9","200us"
4.31359907749922,0.00165752014040813,"Ac","10","200us"
4.68155674904369,0.00186876901867423,"Ac","11","200us"
5.03411994250532,0.00178702102525207,"Ac","12","200us"
4.42985862338693,0.00180055092183089,"Ac","13","200us"
4.52692259422482,0.00179645956827897,"Ac","14","200us"
4.49018223554565,0.00180130443757958,"Ac","15","200us"
4.35983018841032,0.00175657197219178,"Ac","16","200us"
4.21668281081263,0.0017151912140092,"Ac","17","200us"
4.25811990099184,0.00171757053037636,"Ac","18","200us"
4.69713706537131,0.00185413370226738,"Ac","19","200us"
4.55362302626367,0.00169774100284656,"Ac","20","200us"
4.22498726085565,0.00174357871575599,"Ac","1","500us"
4.55641890032332,0.00178627297958327,"Ac","2","500us"
4.38242845850096,0.00169759934502332,"Ac","3","500us"
3.99771880870685,0.00176837433840091,"Ac","4","500us"
4.68885294263734,0.00179019316732191,"Ac","5","500us"
4.64735583571333,0.00176288720443125,"Ac","6","500us"
4.80106286007376,0.00179328554763146,"Ac","7","500us"
4.68132838175145,0.00174064439528094,"Ac","8","500us"
4.6721086229893,0.00163887698829357,"Ac","9","500us"
4.21719965501271,0.00165111608516117,"Ac","10","500us"
4.63036664009676,0.00177294343723905,"Ac","11","500us"
4.66543422626237,0.00175804900403126,"Ac","12","500us"
4.25584820639642,0.00180872527144599,"Ac","13","500us"
5.37607856329531,0.00192247967055399,"Ac","14","500us"
4.85716299322548,0.00183569854710743,"Ac","15","500us"
5.04687479151272,0.00176234245910905,"Ac","16","500us"
4.37197613127351,0.00160672740248479,"Ac","17","500us"
4.42321115578707,0.00167926440360399,"Ac","18","500us"
4.50398795888265,0.00183992285512966,"Ac","19","500us"
4.76129270994273,0.0017344539182398,"Ac","20","500us"
9.58050530858371,0.00179237477545519,"Dr","1","0us"
8.91772682916007,0.00177722929340785,"Dr","2","0us"
9.34220358589088,0.00177590972486806,"Dr","3","0us"
9.73149528830007,0.0018923253857934,"Dr","4","0us"
9.52492487943346,0.00198482766646653,"Dr","5","0us"
9.37904134253384,0.00201916972114111,"Dr","6","0us"
9.10715962103589,0.00185779123350385,"Dr","7","0us"
10.0739618900111,0.00201433630027006,"Dr","8","0us"
9.17706954105559,0.00181529472468664,"Dr","9","0us"
9.25835324357652,0.00180547740852581,"Dr","10","0us"
9.52905725489708,0.00185314867860439,"Dr","11","0us"
9.56678262145525,0.00191388867985525,"Dr","12","0us"
9.30752923029453,0.00183989373248969,"Dr","13","0us"
9.99936759192776,0.00191431990734629,"Dr","14","0us"
9.72038103992313,0.00200554582196692,"Dr","15","0us"
8.88330039553324,0.00209375562182501,"Dr","16","0us"
9.17266806309034,0.00179506419995931,"Dr","17","0us"
9.73863238829981,0.00198980211074892,"Dr","18","0us"
9.79045886271414,0.00196235674808474,"Dr","19","0us"
9.403255568412,0.00182599117926629,"Dr","20","0us"
9.58141317309681,0.00192072101688499,"Dr","1","100us"
9.10452447986056,0.00180809882694288,"Dr","2","100us"
10.1631082064031,0.0020161078449186,"Dr","3","100us"
9.03855040941698,0.00185317255721763,"Dr","4","100us"
8.80690810039024,0.00183791230887017,"Dr","5","100us"
9.12427279693889,0.00180053582888174,"Dr","6","100us"
8.79556026249228,0.00180025615763481,"Dr","7","100us"
9.22770696087997,0.00196124810042694,"Dr","8","100us"
8.35490782717353,0.00190369934033723,"Dr","9","100us"
8.90405959850866,0.00183873226221202,"Dr","10","100us"
9.1713908199272,0.00173956247496543,"Dr","11","100us"
8.95459958380495,0.00189073987772111,"Dr","12","100us"
8.57388042488125,0.00198697732338574,"Dr","13","100us"
9.44737953672425,0.00179252303113571,"Dr","14","100us"
9.41560122024022,0.00181407917685608,"Dr","15","100us"
9.58716125785184,0.00177064532934268,"Dr","16","100us"
9.51161312808178,0.00191355251462256,"Dr","17","100us"
9.16723300212006,0.00180623504277723,"Dr","18","100us"
9.30990559240796,0.00191711292975007,"Dr","19","100us"
9.40911888193164,0.0018367848829353,"Dr","20","100us"
9.4431487166119,0.00186004702147924,"Dr","1","200us"
9.82547026099937,0.00196678310708836,"Dr","2","200us"
9.35853623404861,0.00174675700056339,"Dr","3","200us"
9.55160535770586,0.00193131990827692,"Dr","4","200us"
9.18164225349595,0.00169316981752375,"Dr","5","200us"
9.55799038288304,0.0018925324983668,"Dr","6","200us"
9.33206882769813,0.00181796721882443,"Dr","7","200us"
9.79487301096945,0.00180549479011314,"Dr","8","200us"
8.79759688986643,0.00174969594689222,"Dr","9","200us"
8.76341781201316,0.00173114491963674,"Dr","10","200us"
9.56447819721833,0.00190758180139588,"Dr","11","200us"
9.98387177101338,0.00185226053315291,"Dr","12","200us"
9.06759502738545,0.00187251442880853,"Dr","13","200us"
9.25612807592032,0.00187292730176358,"Dr","14","200us"
9.07296003295914,0.00185420653978386,"Dr","15","200us"
8.92724808624967,0.00183848270460543,"Dr","16","200us"
8.73804797319426,0.0017909863298396,"Dr","17","200us"
8.75022790195689,0.00180975641293566,"Dr","18","200us"
9.45516019198249,0.00190795949914337,"Dr","19","200us"
