2, 1
0, 2
0, 0
2, 1
2, 1
0, 4
1, 1
3, 2
2, 6
2, 2
0, 0
2, 2
1, 2
0, 3
0, 2
1, 2
3, 1
2, 1
2, 2
2, 2
3, 0
1, 2
1, 0
2, 1
3, 2
2, 1
2, 1
1, 1
4, 3
2, 2
0, 2
3, 0
1, 1
1, 2
2, 0
0, 2
9, 1
6, 2
7, 1
4, 4
9, 6
4, 5
6, 5
4, 2
1, 1
1, 3
5, 8
5, 7
8, 8
3, 3
4, 3
11, 13
2, 3
3, 4
5, 1
3, 2
0, 1
2, 2
4, 0
1, 3
1, 1
1, 0
1, 1
1, 4
27, 32
7, 6
4, 5
4, 2
3, 3
4, 5
0, 2
2, 0
3, 3
2, 2
1, 3
1, 6
4, 3
1, 2
2, 2
3, 1
1, 3
1, 0
1, 2
0, 0
0, 1
1, 0
1, 2
3, 2
5, 0
2, 2
2, 2
1, 1
3, 3
2, 3
2, 2
2, 1
1, 2
2, 3
6, 2
3, 0
1, 2
2, 1
0, 1
1, 1
0, 2
2, 0
2, 0
3, 2
0, 2
0, 0
0, 2
3, 1
1, 0
4, 0
4, 2
4, 2
1, 2
1, 3
1, 1
2, 1
3, 0
2, 1
0, 0
6, 2
0, 2
5, 0
2, 1
2, 0
1, 1
3, 2
3, 0
3, 1
1, 3
4, 0
2, 2
2, 1
7, 4
4, 2
4, 1
2, 1
12, 0
11, 3
7, 3
5, 2
8, 1
8, 2
3, 0
3, 4
9, 4
10, 2
6, 1
1, 1
1, 1
1, 1
3, 4
3, 1
2, 1
3, 0
6, 2
3, 0
3, 1
5, 3
4, 2
4, 2
1, 2
3, 0
2, 0
1, 1
1, 1
1, 3
2, 0
5, 1
3, 2
3, 2
4, 3
2, 3
2, 2
1, 2
1, 2
6, 0
8, 0
0, 1
6, 3
3, 3
1, 1
7, 1
8, 2
3, 1
3, 1
2, 0
1, 1
3, 1
2, 1
1, 1
2, 2
3, 3
13, 2
11, 0
4, 1
1, 2
7, 1
2, 0
1, 2
1, 0
1, 2
0, 0
2, 6
5, 0
1, 1
1, 0
4, 2
4, 1
3, 2
0, 4
2, 1
1, 0
0, 3
3, 3
1, 2
1, 0
0, 0
0, 5
3, 2
0, 1
2, 2
0, 1
2, 1
1, 2
5, 1
0, 0
3, 0
1, 2
6, 1
2, 2
4, 1
1, 0
3, 4
2, 1
2, 2
3, 0
1, 0
4, 2
1, 2
1, 0
1, 0
2, 1
3, 2
2, 2
1, 1
1, 1
0, 1
2, 2
4, 1
1, 3
0, 2
1, 1
1, 3
10, 1
8, 0
6, 1
7, 2
12, 5
4, 0
4, 1
2, 3
2, 2
3, 1
2, 2
5, 3
1, 1
2, 0
0, 2
0, 3
3, 0
4, 1
2, 3
5, 1
2, 2
8, 1
1, 0
5, 1
15, 0
2, 1
4, 5
3, 1
6, 1
1, 0
6, 5
3, 1
3, 1
4, 2
1, 0
3, 0
1, 0
5, 0
9, 1
4, 0
4, 1
3, 1
2, 0
4, 0
3, 2
2, 1
5, 3
1, 3
2, 2
2, 1
1, 1
3, 0
1, 2
0, 1
2, 4
1, 3
2, 0
0, 3
3, 2
2, 2
7, 0
1, 1
3, 0
3, 0
4, 3
5, 2
3, 2
2, 2
1, 0
3, 4
0, 1
5, 1
2, 3
2, 0
8, 1
3, 2
4, 0
2, 5
2, 0
3, 2
0, 2
1, 4
3, 2
2, 0
0, 1
1, 1
1, 2
1, 2
4, 2
1, 0
0, 2
3, 0
1, 0
1, 2
8, 0
6, 1
12, 1
1, 1
3, 3
2, 2
7, 1
1, 0
2, 0
0, 2
2, 1
8, 1
6, 0
3, 0
1, 2
4, 0
5, 3
4, 5
4, 0
2, 3
5, 0
7, 5
4, 2
6, 0
0, 0
6, 4
18, 3
31, 4
10, 2
7, 0
7, 2
6, 2
5, 4
3, 0
6, 4
13, 2
7, 5
9, 1
9, 2
3, 3
1, 2
1, 2
1, 1
7, 1
3, 4
6, 2
4, 3
4, 4
3, 0
1, 0
17, 5
4, 4
6, 2
9, 2
4, 2
3, 0
14, 5
7, 3
5, 3
13, 2
7, 2
4, 2
0, 2
12, 4
8, 2
7, 1
14, 3
19, 3
11, 0
13, 2
7, 4
