"g0","td","w2","chl","sam","time.react"
10.1614253446106,0.000982685899547565,18.8954662871998,"Ac","1","0us"
10.2345314923627,0.000886214615998938,37.7418620335861,"Ac","2","0us"
10.0394921969523,0.000925135627724359,14.0246419970087,"Ac","3","0us"
9.81334340353769,0.000870572975376712,31.095511884,"Ac","4","0us"
10.1435204411533,0.000906243354164281,24.4396038595542,"Ac","5","0us"
9.99137957806874,0.000861796541212798,59.2125308189251,"Ac","6","0us"
9.93380060014048,0.00093518054060058,10.308208154055,"Ac","7","0us"
10.1418453534976,0.00092818988626146,15.1308438816123,"Ac","8","0us"
10.3238639722453,0.000958997793998906,12.5363170430581,"Ac","9","0us"
9.94873767745944,0.000907209811329054,27.592752751537,"Ac","10","0us"
9.31504042459625,0.000887806312178558,17.5300017316924,"Ac","11","0us"
10.4797110416551,0.000905770166650925,22.5299302363043,"Ac","12","0us"
9.91443034562565,0.00091599768556597,51.7062914827523,"Ac","13","0us"
9.77741447925041,0.000917599610604055,18.3101888063725,"Ac","14","0us"
9.49494716826466,0.000909998043170755,18.4119608056625,"Ac","15","0us"
10.2653137030047,0.000855406256222759,32.1427434149389,"Ac","16","0us"
10.2415515461762,0.000935497867517227,20.1857004997335,"Ac","17","0us"
9.60817254680185,0.000929693496502857,12.0672044529092,"Ac","18","0us"
9.77326151040813,0.000918091101554187,18.1021617268748,"Ac","19","0us"
9.7677565621419,0.000947475655083489,11.6938830724565,"Ac","20","0us"
9.62398820244808,0.000859582549570328,32.4908237660543,"Ac","1","100us"
9.42684146471717,0.000961604658024033,12.041363116427,"Ac","2","100us"
9.7097407780751,0.000830937116313162,31.7100878541066,"Ac","3","100us"
9.92499156087077,0.000872331220094841,20.208848199798,"Ac","4","100us"
9.28617443561478,0.00093882809612815,13.9613835141445,"Ac","5","100us"
9.73493438312891,0.000874808782067296,25.7101039395732,"Ac","6","100us"
9.82965730645039,0.000875583148356092,21.4074422368388,"Ac","7","100us"
9.95241795643275,0.000906244714334692,35.4159932487001,"Ac","8","100us"
9.67022440537045,0.000848613247923326,23.6269434617769,"Ac","9","100us"
9.90365512558435,0.000853926695425132,24.9632834153006,"Ac","10","100us"
10.0100893662419,0.000838987612956286,37.82360327984,"Ac","11","100us"
9.37241226342224,0.000896478246826391,13.6475842947673,"Ac","12","100us"
9.35799876627504,0.000904739741076687,22.9345928365677,"Ac","13","100us"
9.43374020851579,0.000870782586740248,16.9366074085878,"Ac","14","100us"
9.81069431562564,0.000891204013998673,26.479658937338,"Ac","15","100us"
9.77336989348914,0.00086659912703372,26.691759391082,"Ac","16","100us"
9.62536201399367,0.000827937437370398,31.5150097738164,"Ac","17","100us"
9.63679678657902,0.000896853360790496,30.11407402561,"Ac","18","100us"
9.72739217233258,0.000894951913334287,22.3502942619732,"Ac","19","100us"
9.86284881381452,0.000837861491279058,29.3302765228332,"Ac","20","100us"
9.36512122736693,0.000845669631562747,40.1384808120357,"Ac","1","200us"
9.61640849466176,0.000908505825088047,20.1675925090059,"Ac","2","200us"
9.40603077155087,0.000864195907344911,20.5229621745269,"Ac","3","200us"
10.0179152183697,0.00088939915187069,33.8903080797878,"Ac","4","200us"
9.97312731112229,0.000888986189454259,34.0441884238867,"Ac","5","200us"
10.0505620000229,0.000899133268501929,18.9706526231934,"Ac","6","200us"
9.94035510635459,0.000845050109219775,36.1255774668433,"Ac","7","200us"
9.89275142816819,0.000903357871678671,19.2660266362395,"Ac","8","200us"
9.45511331552253,0.000853804159368451,32.7162955510798,"Ac","9","200us"
9.79133945743501,0.000890524353633434,36.8172485719887,"Ac","10","200us"
9.78500202531069,0.000843707719876093,37.0821277808891,"Ac","11","200us"
9.58355019850731,0.000863896435070317,27.6367938461556,"Ac","12","200us"
9.41911151543962,0.000899303640458708,21.6751207106387,"Ac","13","200us"
9.7263815499865,0.000842995063198428,25.5849654010264,"Ac","14","200us"
9.93247117238765,0.000902255923250755,18.9569450365585,"Ac","15","200us"
9.47806106033907,0.000874141551505953,39.0315924159753,"Ac","16","200us"
