g0,td,chl,sam,time.react,fret
8.904059599,0.001838732,Dr,10,100us,0.2_0.4
9.17139082,0.001739562,Dr,11,100us,0.2_0.4
8.954599584,0.00189074,Dr,12,100us,0.2_0.4
8.573880425,0.001986977,Dr,13,100us,0.2_0.4
9.447379537,0.001792523,Dr,14,100us,0.2_0.4
9.41560122,0.001814079,Dr,15,100us,0.2_0.4
9.587161258,0.001770645,Dr,16,100us,0.2_0.4
9.511613128,0.001913553,Dr,17,100us,0.2_0.4
9.167233002,0.001806235,Dr,18,100us,0.2_0.4
9.309905592,0.001917113,Dr,19,100us,0.2_0.4
9.409118882,0.001836785,Dr,20,100us,0.2_0.4
9.443148717,0.001860047,Dr,1,200us,0.2_0.4
9.825470261,0.001966783,Dr,2,200us,0.2_0.4
9.358536234,0.001746757,Dr,3,200us,0.2_0.4
9.551605358,0.00193132,Dr,4,200us,0.2_0.4
9.181642253,0.00169317,Dr,5,200us,0.2_0.4
9.557990383,0.001892532,Dr,6,200us,0.2_0.4
9.332068828,0.001817967,Dr,7,200us,0.2_0.4
9.794873011,0.001805495,Dr,8,200us,0.2_0.4
8.79759689,0.001749696,Dr,9,200us,0.2_0.4
8.763417812,0.001731145,Dr,10,200us,0.2_0.4
9.564478197,0.001907582,Dr,11,200us,0.2_0.4
9.983871771,0.001852261,Dr,12,200us,0.2_0.4
9.067595027,0.001872514,Dr,13,200us,0.2_0.4
9.256128076,0.001872927,Dr,14,200us,0.2_0.4
9.072960033,0.001854207,Dr,15,200us,0.2_0.4
8.927248086,0.001838483,Dr,16,200us,0.2_0.4
8.738047973,0.001790986,Dr,17,200us,0.2_0.4
8.750227902,0.001809756,Dr,18,200us,0.2_0.4
9.455160192,0.001907959,Dr,19,200us,0.2_0.4
9.283852925,0.0017545,Dr,20,200us,0.2_0.4
9.4412215,0.001828159,Dr,1,500us,0.2_0.4
9.888963617,0.001861152,Dr,2,500us,0.2_0.4
9.796321138,0.00178399,Dr,3,500us,0.2_0.4
8.98176626,0.001883469,Dr,4,500us,0.2_0.4
10.05057077,0.001881515,Dr,5,500us,0.2_0.4
9.234516795,0.001864583,Dr,6,500us,0.2_0.4
9.508922575,0.00191731,Dr,7,500us,0.2_0.4
9.466481144,0.001767908,Dr,8,500us,0.2_0.4
9.474460203,0.001733451,Dr,9,500us,0.2_0.4
8.528910219,0.001773583,Dr,10,500us,0.2_0.4
9.152897553,0.001925902,Dr,11,500us,0.2_0.4
9.349281232,0.001797179,Dr,12,500us,0.2_0.4
8.756106279,0.001895749,Dr,13,500us,0.2_0.4
10.4693537,0.002009071,Dr,14,500us,0.2_0.4
9.790863718,0.001864662,Dr,15,500us,0.2_0.4
9.908662645,0.001821895,Dr,16,500us,0.2_0.4
8.841596063,0.001702167,Dr,17,500us,0.2_0.4
9.031507389,0.001742877,Dr,18,500us,0.2_0.4
8.880259819,0.00193835,Dr,19,500us,0.2_0.4
9.606263185,0.001810012,Dr,20,500us,0.2_0.4
6.970466755,0.001809039,Tt,1,0us,0.2_0.4
6.422733875,0.001757807,Tt,2,0us,0.2_0.4
6.641068573,0.001746471,Tt,3,0us,0.2_0.4
6.916123952,0.001893037,Tt,4,0us,0.2_0.4
6.88603252,0.002004212,Tt,5,0us,0.2_0.4
6.68035602,0.001991425,Tt,6,0us,0.2_0.4
6.776880518,0.001890739,Tt,7,0us,0.2_0.4
7.196489034,0.001972488,Tt,8,0us,0.2_0.4
6.670595747,0.001777203,Tt,9,0us,0.2_0.4
6.624973569,0.001837888,Tt,10,0us,0.2_0.4
6.877668684,0.001843357,Tt,11,0us,0.2_0.4
6.96269363,0.001917526,Tt,12,0us,0.2_0.4
6.64611369,0.001849893,Tt,13,0us,0.2_0.4
7.255154109,0.001905529,Tt,14,0us,0.2_0.4
6.729857767,0.001984079,Tt,15,0us,0.2_0.4
6.38604248,0.002070782,Tt,16,0us,0.2_0.4
6.416650274,0.001764303,Tt,17,0us,0.2_0.4
7.002477995,0.00197922,Tt,18,0us,0.2_0.4
6.868728402,0.001951449,Tt,19,0us,0.2_0.4
6.734830976,0.001824346,Tt,20,0us,0.2_0.4
6.840721233,0.001931114,Tt,1,100us,0.2_0.4
6.439760207,0.001823935,Tt,2,100us,0.2_0.4
7.240427802,0.002040388,Tt,3,100us,0.2_0.4
6.361748769,0.001875166,Tt,4,100us,0.2_0.4
6.1476345,0.001863904,Tt,5,100us,0.2_0.4
6.623291105,0.001824052,Tt,6,100us,0.2_0.4
6.350794293,0.00183012,Tt,7,100us,0.2_0.4
6.697106286,0.002002434,Tt,8,100us,0.2_0.4
6.037789291,0.001929405,Tt,9,100us,0.2_0.4
6.443415013,0.001876123,Tt,10,100us,0.2_0.4
6.673562562,0.001780286,Tt,11,100us,0.2_0.4
6.532270506,0.001922956,Tt,12,100us,0.2_0.4
6.205556412,0.00200982,Tt,13,100us,0.2_0.4
6.887351748,0.001816932,Tt,14,100us,0.2_0.4
6.818966297,0.001841191,Tt,15,100us,0.2_0.4
7.045232201,0.001793823,Tt,16,100us,0.2_0.4
6.967338068,0.001945997,Tt,17,100us,0.2_0.4
6.656465971,0.001831831,Tt,18,100us,0.2_0.4
6.730188349,0.001948601,Tt,19,100us,0.2_0.4
6.86166603,0.001868637,Tt,20,100us,0.2_0.4
6.648624764,0.001893328,Tt,1,200us,0.2_0.4
6.953925554,0.002006366,Tt,2,200us,0.2_0.4
6.545758523,0.001785058,Tt,3,200us,0.2_0.4
6.709693441,0.001963096,Tt,4,200us,0.2_0.4
6.464903226,0.001711335,Tt,5,200us,0.2_0.4
6.990632389,0.001917807,Tt,6,200us,0.2_0.4
6.70510271,0.001865421,Tt,7,200us,0.2_0.4
7.136906892,0.001850697,Tt,8,200us,0.2_0.4
6.376160512,0.001792171,Tt,9,200us,0.2_0.4
6.347802677,0.00176798,Tt,10,200us,0.2_0.4
6.932150654,0.001963682,Tt,11,200us,0.2_0.4
7.32452158,0.00189453,Tt,12,200us,0.2_0.4
6.553476772,0.001915579,Tt,13,200us,0.2_0.4
6.703850311,0.001910418,Tt,14,200us,0.2_0.4
6.59200193,0.001902902,Tt,15,200us,0.2_0.4
6.453289857,0.001875179,Tt,16,200us,0.2_0.4
6.285673156,0.001825367,Tt,17,200us,0.2_0.4
6.307818792,0.001840151,Tt,18,200us,0.2_0.4
6.889807574,0.00195604,Tt,19,200us,0.2_0.4
6.719263561,0.001799714,Tt,20,200us,0.2_0.4
6.599898721,0.001873003,Tt,1,500us,0.2_0.4
7.002112732,0.001916444,Tt,2,500us,0.2_0.4
6.843483428,0.001830845,Tt,3,500us,0.2_0.4
6.249459042,0.001926092,Tt,4,500us,0.2_0.4
7.142923643,0.001929671,Tt,5,500us,0.2_0.4
6.696149143,0.001913302,Tt,6,500us,0.2_0.4
6.912102041,0.001958253,Tt,7,500us,0.2_0.4
6.823996198,0.00184432,Tt,8,500us,0.2_0.4
6.820111961,0.001776718,Tt,9,500us,0.2_0.4
6.131061174,0.001810931,Tt,10,500us,0.2_0.4
6.656871884,0.001955749,Tt,11,500us,0.2_0.4
6.754490991,0.001875335,Tt,12,500us,0.2_0.4
6.256791435,0.001952033,Tt,13,500us,0.2_0.4
7.674212938,0.002075261,Tt,14,500us,0.2_0.4
7.065073047,0.001947909,Tt,15,500us,0.2_0.4
7.231349565,0.001885715,Tt,16,500us,0.2_0.4
6.362030226,0.001745361,Tt,17,500us,0.2_0.4
6.477491884,0.001799844,Tt,18,500us,0.2_0.4
6.455617385,0.001989885,Tt,19,500us,0.2_0.4
6.930397717,0.001869178,Tt,20,500us,0.2_0.4
10.27037665,0.000894663,Ac,1,0us,0.5_0.7
10.29973392,0.00084129,Ac,2,0us,0.5_0.7
10.17240527,0.000821717,Ac,3,0us,0.5_0.7
9.885477488,0.000819033,Ac,4,0us,0.5_0.7
10.23289681,0.000840734,Ac,5,0us,0.5_0.7
10.03356183,0.000832895,Ac,6,0us,0.5_0.7
10.09675209,0.000803825,Ac,7,0us,0.5_0.7
10.27028041,0.000829784,Ac,8,0us,0.5_0.7
10.47195724,0.000841935,Ac,9,0us,0.5_0.7
10.02908019,0.000847671,Ac,10,0us,0.5_0.7
9.421809217,0.000803881,Ac,11,0us,0.5_0.7
10.57689435,0.000836212,Ac,12,0us,0.5_0.7
9.962568982,0.000880703,Ac,13,0us,0.5_0.7
9.884861415,0.000833882,Ac,14,0us,0.5_0.7
9.599698573,0.000827081,Ac,15,0us,0.5_0.7
10.33893664,0.000806197,Ac,16,0us,0.5_0.7
10.3462506,0.000856296,Ac,17,0us,0.5_0.7
9.75086935,0.000812878,Ac,18,0us,0.5_0.7
9.882134548,0.000833358,Ac,19,0us,0.5_0.7
9.914662991,0.000825934,Ac,20,0us,0.5_0.7
9.694227023,0.000809947,Ac,1,100us,0.5_0.7
9.566178892,0.000840544,Ac,2,100us,0.5_0.7
9.781794334,0.00078219,Ac,3,100us,0.5_0.7
10.02835431,0.000798409,Ac,4,100us,0.5_0.7
9.411915896,0.000832511,Ac,5,100us,0.5_0.7
9.820168788,0.000813448,Ac,6,100us,0.5_0.7
9.926889423,0.000804958,Ac,7,100us,0.5_0.7
10.01818911,0.000858001,Ac,8,100us,0.5_0.7
9.760669324,0.000785023,Ac,9,100us,0.5_0.7
9.994072565,0.000792169,Ac,10,100us,0.5_0.7
10.07375876,0.000796797,Ac,11,100us,0.5_0.7
9.503853016,0.00079281,Ac,12,100us,0.5_0.7
9.446676448,0.000835176,Ac,13,100us,0.5_0.7
9.546564544,0.000785745,Ac,14,100us,0.5_0.7
9.893284077,0.000830549,Ac,15,100us,0.5_0.7
9.855112426,0.000808161,Ac,16,100us,0.5_0.7
9.697215152,0.000779129,Ac,17,100us,0.5_0.7
9.710428193,0.000841814,Ac,18,100us,0.5_0.7
9.820908584,0.00082494,Ac,19,100us,0.5_0.7
9.94153432,0.000785104,Ac,20,100us,0.5_0.7
9.422483915,0.000805017,Ac,1,200us,0.5_0.7
9.715590344,0.000831497,Ac,2,200us,0.5_0.7
9.504583484,0.000791349,Ac,3,200us,0.5_0.7
10.08688698,0.000840249,Ac,4,200us,0.5_0.7
10.04215874,0.000839822,Ac,5,200us,0.5_0.7
10.15989105,0.000818941,Ac,6,200us,0.5_0.7
10.00620372,0.000800741,Ac,7,200us,0.5_0.7
9.999441242,0.000823621,Ac,8,200us,0.5_0.7
9.522679994,0.0008052,Ac,9,200us,0.5_0.7
9.855986718,0.000844088,Ac,10,200us,0.5_0.7
9.848806087,0.000800346,Ac,11,200us,0.5_0.7
9.663130521,0.000806771,Ac,12,200us,0.5_0.7
9.513600508,0.000826511,Ac,13,200us,0.5_0.7
9.811765632,0.000783881,Ac,14,200us,0.5_0.7
10.04102895,0.000821532,Ac,15,200us,0.5_0.7
9.536982962,0.000831105,Ac,16,200us,0.5_0.7
9.575419001,0.000788529,Ac,17,200us,0.5_0.7
10.06523065,0.000808745,Ac,18,200us,0.5_0.7
9.654464256,0.000777764,Ac,19,200us,0.5_0.7
10.28332778,0.000850886,Ac,20,200us,0.5_0.7
9.894611101,0.000837694,Ac,1,500us,0.5_0.7
9.662072363,0.000790645,Ac,2,500us,0.5_0.7
9.919618035,0.000810317,Ac,3,500us,0.5_0.7
9.849671823,0.000814766,Ac,4,500us,0.5_0.7
9.763397546,0.00078076,Ac,5,500us,0.5_0.7
10.20342459,0.000845253,Ac,6,500us,0.5_0.7
9.801074362,0.00081879,Ac,7,500us,0.5_0.7
10.05872642,0.000819482,Ac,8,500us,0.5_0.7
10.59936853,0.000833037,Ac,9,500us,0.5_0.7
10.01383825,0.000785849,Ac,10,500us,0.5_0.7
10.23580336,0.000836088,Ac,11,500us,0.5_0.7
9.98327831,0.00077517,Ac,12,500us,0.5_0.7
9.954960961,0.00080544,Ac,13,500us,0.5_0.7
9.759593754,0.000803313,Ac,14,500us,0.5_0.7
9.936344859,0.000765016,Ac,15,500us,0.5_0.7
9.785847096,0.000796078,Ac,16,500us,0.5_0.7
9.785976083,0.000825296,Ac,17,500us,0.5_0.7
9.933276383,0.000771915,Ac,18,500us,0.5_0.7
10.19993118,0.000841668,Ac,19,500us,0.5_0.7
9.66563358,0.000832552,Ac,20,500us,0.5_0.7
4.172620637,0.000847846,Dr,1,0us,0.5_0.7
3.977492145,0.000807548,Dr,2,0us,0.5_0.7
4.088178866,0.000822532,Dr,3,0us,0.5_0.7
4.014320693,0.000790152,Dr,4,0us,0.5_0.7
4.186623897,0.000859476,Dr,5,0us,0.5_0.7
3.759151008,0.000829088,Dr,6,0us,0.5_0.7
3.798488576,0.000798544,Dr,7,0us,0.5_0.7
4.177451991,0.000832369,Dr,8,0us,0.5_0.7
4.479134275,0.000836683,Dr,9,0us,0.5_0.7
4.152530942,0.000887768,Dr,10,0us,0.5_0.7
3.895704632,0.000817792,Dr,11,0us,0.5_0.7
4.49690039,0.000839527,Dr,12,0us,0.5_0.7
4.210595016,0.000878171,Dr,13,0us,0.5_0.7
4.279149354,0.000874621,Dr,14,0us,0.5_0.7
4.042729125,0.000865129,Dr,15,0us,0.5_0.7
4.150730879,0.00083059,Dr,16,0us,0.5_0.7
4.152134187,0.000863789,Dr,17,0us,0.5_0.7
3.995311278,0.000816196,Dr,18,0us,0.5_0.7
4.256153746,0.000873705,Dr,19,0us,0.5_0.7
3.964993574,0.000811076,Dr,20,0us,0.5_0.7
4.024542018,0.00078333,Dr,1,100us,0.5_0.7
3.960828856,0.000812345,Dr,2,100us,0.5_0.7
4.12968078,0.000764511,Dr,3,100us,0.5_0.7
4.263762091,0.000784137,Dr,4,100us,0.5_0.7
3.920981703,0.00080478,Dr,5,100us,0.5_0.7
3.916135282,0.000777068,Dr,6,100us,0.5_0.7
3.942480099,0.000780869,Dr,7,100us,0.5_0.7
